"2010" "2020" "2030" "2040" "2050" "2060" "2070" "2080" "2090" "2100" "2110" "2120" "2130" "2140" "2150" "2160" "2170" "2180" "2190" "2200"
-7.04410306049537 -0.888278157206961 14.0506552802096 31.8756752633992 51.3475378647516 75.4056378267417 100.910775850147 125.136770029124 143.599007905 162.447960209289 193.742927007294 204.143815143942 226.824542035785 246.241711913752 255.074662961868 266.64861172375 279.261562100229 288.690949817417 301.818341476085 312.935563461235
-6.19856146779713 0.247737944476057 15.8563644024056 34.2695044414968 54.2800753514775 79.429661831908 105.484289421298 129.472201158134 149.114325189593 169.213203652817 200.790015827028 210.718487239384 234.397388777866 254.420467346512 264.178736122117 275.852705348702 287.737928880991 301.488704757847 313.860086212064 324.368531402991
-5.35478286023628 1.45464174550646 17.6672954891268 36.3148322469909 57.2124278740448 83.2036992051099 110.353798065488 134.548842241097 155.177852430707 173.978064404385 206.014718668115 217.73197003488 242.373434827647 261.273724974359 272.275753579902 285.826936060738 298.97772788213 312.292377015775 323.697613503337 336.297153040992
-4.61731807481748 2.53129452277604 18.9311471195896 38.2976833204116 60.010367935229 86.9762654963894 113.528013720116 139.445072534288 160.222651523109 181.294854833665 211.729749992474 224.33334052816 249.862867837056 268.559453432178 280.330352638179 294.760104531487 308.958873775009 321.749957310433 335.146937320873 348.133398109297
-3.85415160294901 3.70522952326603 20.5990959502382 40.4551905377929 63.161263216064 90.4243228003979 117.11292780511 143.572593123486 165.957959754905 186.713172223197 217.792689269447 230.81994714385 256.630752652596 276.608675241725 288.659660621778 302.395107060824 317.566437119511 331.162531135896 345.99933925054 358.069879094675
-3.19154209638298 4.74150338924077 22.2118440102905 42.5271906595968 65.8962532727068 93.1671960585993 120.741332678643 147.839252389586 170.128347534556 191.46375947666 223.168375122327 237.773000546605 263.220846168359 283.62432321758 296.162144238666 311.370141207499 326.559547886619 340.880384055254 355.293881725524 367.951403948957
-2.57021004135492 5.6709454418537 23.660060527093 44.3647890350158 67.9333273408147 95.6436715177188 124.470013906635 151.280948540976 174.817468505974 196.809788925365 227.736020619853 243.819369356777 268.247220250075 289.858782639178 303.911113486706 318.76976628606 334.527782906991 351.058367703567 366.212208019826 378.230331262459
-1.84192952923779 6.45533713669546 24.7637573637828 46.3757104571837 70.0141133079217 98.8920227490452 127.8863137447 155.703757411901 179.06890720001 202.416978960774 232.723497016412 249.316533828254 275.279621373636 296.413676896588 309.60944057773 326.746242187541 343.376428800164 359.262350101581 377.42789727018 390.489872255623
-1.32295383022876 7.4928202313348 26.13071709868 47.8618278235928 72.3089176109168 101.920129862214 130.971453005184 160.009190823203 183.935617812146 207.720648075173 237.717600640855 254.062403817579 280.62800338318 302.000885562386 316.429204152853 336.031992366549 352.092440101995 368.163398184499 386.793098884393 402.112588821948
-0.777720737924713 8.41143588735459 27.427430231569 49.674360009278 74.4148300459684 105.28601475807 134.590459166921 163.38227739452 188.509682930026 212.356695955941 242.861347855872 261.165237095053 287.046019155174 308.518368438739 323.395749995092 343.547935334044 361.143666229474 376.811800019406 396.10521578107 410.736378658954
-0.186046955794831 9.31463917281759 28.7838137186432 51.4573010266956 77.0814218622082 107.896551265083 138.558938140618 167.272693229775 193.284896254439 218.024868333794 248.160664943246 266.683821026891 293.51926503332 314.713194467535 331.14246900041 350.490749477649 368.41848741343 386.304059324597 404.044355298478 419.533984060212
0.433628108205063 10.2060895339687 30.0021611573115 53.165913144896 79.527891819912 110.643407628673 141.839284133054 171.162888036922 197.728328861555 222.37111070935 253.092028640487 271.670463103244 298.777692533011 321.004581498242 337.565513222604 357.623779518348 376.739854211662 394.126875953375 411.839433683936 428.80969822822
0.94294390172994 11.0786624493736 31.0640457445661 54.998084903146 81.9055148726627 113.748458533484 145.523698330643 175.1001149368 201.841161068851 226.899153566015 257.132297454089 276.857989094936 304.035166198418 327.070747751713 344.833653406328 365.065185662498 382.592123124856 401.793003824752 420.60258724123 437.0822907315
